#{"t_start": 1788280879.1170115, "env_id": "None"}
r,l,t
-313475.389833,500,22.78588
-331064.368014,500,44.756162
-307101.242323,500,66.240925
-288995.880218,500,87.452711
-322995.304847,500,122.918778
-329196.037685,500,167.80331
-284900.986605,500,176.886674
-306921.90061,500,197.644439
-362454.567063,500,230.866508
-291934.210876,500,250.8836
-263585.945005,500,300.969543
-344771.017626,500,318.334015
-347943.319346,500,347.780442
-336127.768583,500,365.620236
-283267.942383,500,383.703111
-301879.939529,500,423.452535
-319559.467685,500,454.007694
-291220.153245,500,472.512579
-264318.717797,500,491.344296
-308575.508646,500,510.15892
-273680.574308,500,568.552975
-277061.412448,500,582.339747
-329817.751729,500,587.940387
-283941.316075,500,593.142467
-326558.948819,500,602.706508
-302498.614247,500,616.147562
-322325.826124,500,621.380769
-320198.87197,500,626.499242
-332783.050968,500,636.650045
-330156.893869,500,641.996827
-298796.294351,500,655.631169
-314041.289414,500,660.838779
-377761.379432,500,670.860491
-295698.970727,500,675.625789
-311423.258121,500,680.614946
-393473.979294,500,694.302343
-303347.406844,500,704.174789
-304157.838115,500,709.177641
-277697.966078,500,714.189471
-351190.35585,500,719.099021
-281806.681847,500,737.451751
-305778.879064,500,742.420504
-329219.556695,500,747.354201
-317869.650504,500,752.420895
-259901.304051,500,757.372785
-300033.506746,500,775.485259
-294273.774119,500,780.355789
-309270.843882,500,785.197749
-365807.314596,500,790.21614
-293619.549317,500,799.920873
-278450.423589,500,813.877296
-323441.087622,500,819.039011
-292354.95321,500,833.787285
-294122.646502,500,866.58353
-285968.067325,500,886.408867
-340313.723365,500,936.830554
-282921.0889,500,955.048641
-325710.740932,500,985.857758
-259620.825004,500,1003.408162
-291135.904962,500,1021.192652
-254694.684582,500,1067.545552
-216140.854104,500,1098.774648
-310592.369889,500,1116.188401
-270589.07155,500,1133.937588
-242465.750399,500,1151.464194
-311792.368542,500,1210.659197
-241794.312419,500,1228.430751
-259875.480102,500,1246.420804
-327980.290125,500,1264.428
-272430.233845,500,1296.217618
-286083.71194,500,1342.725968
-302521.377052,500,1360.89515
-277818.721127,500,1378.552483
-305560.18176,500,1410.761334
-317587.912129,500,1428.702309
-268726.975924,500,1475.832319
-225112.771305,500,1493.671404
-317303.97921,500,1524.520209
-307342.29734,500,1542.340887
-303885.187084,500,1559.862998
-258621.589484,500,1607.768013
-282586.678637,500,1639.513527
-307809.132143,500,1657.288778
-286391.629905,500,1675.096235
-290716.841925,500,1693.511614
-314882.884456,500,1741.616447
-222150.942173,500,1773.706216
-230658.637416,500,1791.896793
-254213.49513,500,1809.902107
-326507.895421,500,1829.47471
-377403.874308,500,1889.09216
-309554.455757,500,1907.958116
-175630.734564,500,1926.474325
-225503.259164,500,1944.93494
-353306.389752,500,1975.933682
-441144.756383,500,2023.159407
-263467.074276,500,2041.313044
-295828.263965,500,2058.866119
-381976.876968,500,2090.02575
-314119.183804,500,2107.626641
-255240.90393,500,2153.615993
-270506.344265,500,2171.473396
-285073.572898,500,2202.567228
-255229.285367,500,2220.345475
-269505.159751,500,2238.404093
-282007.358759,500,2285.578826
-238612.162843,500,2317.138643
-289596.733472,500,2335.313186
-259202.654829,500,2353.214826
-259373.761189,500,2371.386726
-215660.379077,500,2432.461967
-277217.70691,500,2450.245722
-285423.222416,500,2468.02916
-308590.18076,500,2486.042852
-208569.636462,500,2503.241947
-281956.687176,500,2517.060855
-323127.061343,500,2522.245291
-284601.730015,500,2527.481338
-254550.737784,500,2537.835129
-274691.159322,500,2543.00183
-236558.187234,500,2557.12242
-297360.961392,500,2562.44275
-256391.178888,500,2572.568788
-293179.908669,500,2577.618664
-218884.547306,500,2582.737438
-201735.634984,500,2596.595634
-320076.482128,500,2606.58872
-258360.023327,500,2611.693019
-206797.296652,500,2616.967256
-301947.735388,500,2622.246113
-290818.613305,500,2636.217234
-292798.436362,500,2646.160805
-262525.45883,500,2651.419024
-225162.998411,500,2656.624008
-304542.324165,500,2661.964045
-248377.61988,500,2680.594807
-278658.688949,500,2686.005478
-299722.274762,500,2691.293279
-265478.929614,500,2696.349934
-318514.903746,500,2706.363038
-264069.98789,500,2720.323624
-209157.453879,500,2725.558411
-231502.955097,500,2730.815688
-332916.955357,500,2753.617866
-296556.272993,500,2771.833071
-190648.710174,500,2819.9781
-261655.944031,500,2838.335425
-206058.779381,500,2869.702935
-243171.86319,500,2887.92976
-293853.859973,500,2905.908212
-347884.124032,500,2952.990784
-258262.475283,500,2984.044549
-301577.229121,500,3002.10743
-248444.070752,500,3020.589152
-249019.255764,500,3039.205394
-240912.282241,500,3100.252213
-213941.509508,500,3118.236826
-240724.334241,500,3136.341121
-193661.576714,500,3154.828366
-239853.980875,500,3186.722844
-311300.232771,500,3234.730948
-227145.838229,500,3253.275773
-265827.709349,500,3271.674207
-307210.153202,500,3302.990613
-202874.283643,500,3321.066162
-231141.423376,500,3367.953789
-168621.660755,500,3386.434666
-254481.053813,500,3418.219568
-253458.802268,500,3436.386799
-308158.871867,500,3454.331102
-240674.593467,500,3501.688733
-284831.29548,500,3520.373678
-295765.683216,500,3551.930718
-226475.371875,500,3570.128822
-327122.42309,500,3588.460033
-225677.829172,500,3636.648762
-180057.497506,500,3668.585016
-305170.974216,500,3686.462055
-295425.755846,500,3704.435752
-245855.483359,500,3722.975382
-231005.063,500,3783.718249
-337147.129233,500,3801.72913
-328095.108694,500,3819.56322
-244608.425746,500,3837.379921
-258155.139283,500,3869.207164
-261444.711573,500,3915.576257
-220981.185345,500,3933.458306
-250793.27439,500,3951.640081
-306425.05328,500,3982.519556
-190613.185738,500,4000.659434
-287039.808295,500,4047.570377
-252521.783667,500,4065.7872
-206572.23996,500,4097.066756
-186650.709048,500,4115.099007
-241658.407715,500,4132.891184
-241539.764757,500,4180.011157
-186046.339165,500,4211.649014
-269267.621643,500,4230.06771
-273931.896145,500,4247.883084
-208132.782114,500,4266.086259
-240846.15444,500,4327.13644
-247939.951628,500,4345.404035
-209475.759644,500,4363.555915
-212303.525227,500,4382.064947
-277900.175232,500,4413.388641
-266513.568605,500,4461.314994
-239027.178158,500,4479.762083
-234507.46293,500,4498.044892
-190775.249449,500,4529.802575
-245748.97662,500,4547.776208
-270059.80758,500,4594.82439
-229178.528225,500,4613.517655
-280245.055937,500,4645.236454
-296045.3632,500,4662.668
-256003.956583,500,4680.612731
