r,l,t,source_env,episode_global,cumulative_steps,reward_ma,length_ma
-317752.284756,500,24.703877,train_env0.monitor,1,500,-317752.284756,500.0
-310483.835151,500,26.117543,train_env1.monitor,2,1000,-314118.0599535,500.0
-313475.389833,500,27.465768,train_env2.monitor,3,1500,-313903.83658,500.0
-371445.872195,500,28.548842,train_env3.monitor,4,2000,-328289.34548375,500.0
-291994.809567,500,44.277942,train_env0.monitor,5,2500,-321030.4383004,500.0
-277606.216077,500,45.40097,train_env1.monitor,6,3000,-313793.06792983337,500.0
-331064.368014,500,46.50387,train_env2.monitor,7,3500,-316260.3965132857,500.0
-312575.014736,500,47.637399,train_env3.monitor,8,4000,-315799.723791125,500.0
-299307.251118,500,63.631151,train_env0.monitor,9,4500,-313967.22682744445,500.0
-311628.878257,500,64.785043,train_env1.monitor,10,5000,-313733.3919704,500.0
-307101.242323,500,65.90717,train_env2.monitor,11,5500,-313130.4692751818,500.0
-242332.981253,500,67.033573,train_env3.monitor,12,6000,-307230.6786066667,500.0
-301592.882853,500,82.85465,train_env0.monitor,13,6500,-306797.0020102308,500.0
-290539.798844,500,83.968102,train_env1.monitor,14,7000,-305635.7732126429,500.0
-288995.880218,500,85.174754,train_env2.monitor,15,7500,-304526.447013,500.0
-258368.994279,500,86.307956,train_env3.monitor,16,8000,-301641.606217125,500.0
-351462.704624,500,115.893319,train_env0.monitor,17,8500,-304572.25906458823,500.0
-224153.451694,500,117.037942,train_env1.monitor,18,9000,-300104.547544,500.0
-322995.304847,500,118.172153,train_env2.monitor,19,9500,-301309.3242441579,500.0
-309106.036663,500,119.296284,train_env3.monitor,20,10000,-301699.1598651,500.0
-312588.537282,500,165.293946,train_env0.monitor,21,10500,-302217.70164685714,500.0
-296639.74673,500,166.36314,train_env1.monitor,22,11000,-301964.15824154543,500.0
-329196.037685,500,167.454063,train_env2.monitor,23,11500,-303148.1529999565,500.0
-281980.243223,500,168.555758,train_env3.monitor,24,12000,-302266.15675925004,500.0
-316416.374904,500,184.301782,train_env0.monitor,25,12500,-302832.16548504,500.0
-287982.705457,500,185.452371,train_env1.monitor,26,13000,-302261.03240703844,500.0
-284900.986605,500,186.56921,train_env2.monitor,27,13500,-301618.0677477037,500.0
-307804.002632,500,187.671822,train_env3.monitor,28,14000,-301838.99399357144,500.0
-280021.948122,500,203.117901,train_env0.monitor,29,14500,-301086.6820669655,500.0
-263756.69115,500,204.331928,train_env1.monitor,30,15000,-299842.34903640003,500.0
-306921.90061,500,205.449994,train_env2.monitor,31,15500,-300070.72166780644,500.0
-291239.812634,500,206.607022,train_env3.monitor,32,16000,-299794.7557605,500.0
-300035.059457,500,236.008784,train_env0.monitor,33,16500,-299802.03769069695,500.0
-273512.424857,500,237.155527,train_env1.monitor,34,17000,-299028.8137838235,500.0
-362454.567063,500,238.276463,train_env2.monitor,35,17500,-300840.97816322854,500.0
-314244.644753,500,239.463047,train_env3.monitor,36,18000,-301213.30223516666,500.0
-283039.167862,500,255.174634,train_env0.monitor,37,18500,-300722.10941427026,500.0
-284613.568398,500,256.315517,train_env1.monitor,38,19000,-300298.2004401579,500.0
-291934.210876,500,257.451734,train_env2.monitor,39,19500,-300083.7391692821,500.0
-272317.345492,500,258.625077,train_env3.monitor,40,20000,-299389.57932735,500.0
-310009.295508,500,305.772011,train_env0.monitor,41,20500,-299648.59679517074,500.0
-278178.713079,500,306.94086,train_env1.monitor,42,21000,-299137.40908764285,500.0
-263585.945005,500,308.095744,train_env2.monitor,43,21500,-298310.6308531628,500.0
-283427.551624,500,309.26315,train_env3.monitor,44,22000,-297972.3790525,500.0
-269031.854482,500,325.349835,train_env0.monitor,45,22500,-297329.25628426665,500.0
-304591.871534,500,326.775727,train_env1.monitor,46,23000,-297487.1392244782,500.0
-344771.017626,500,328.324207,train_env2.monitor,47,23500,-298493.1791904681,500.0
-266244.987258,500,329.904069,train_env3.monitor,48,24000,-297821.34185854165,500.0
-304838.268602,500,359.627961,train_env0.monitor,49,24500,-297964.54444514285,500.0
-324335.739844,500,360.707178,train_env1.monitor,50,25000,-298491.96835312,500.0
-347943.319346,500,361.86204,train_env2.monitor,51,25500,-299095.78904492,500.0
-296767.016174,500,363.025862,train_env3.monitor,52,26000,-298821.45266538,500.0
-286670.220744,500,378.939055,train_env0.monitor,53,26500,-298285.3492836,500.0
-278003.788451,500,380.099169,train_env1.monitor,54,27000,-296416.50760872,500.0
-336127.768583,500,381.222061,train_env2.monitor,55,27500,-297299.16678904,500.0
-272448.241889,500,382.313783,train_env3.monitor,56,28000,-297196.00730528,500.0
-316230.6522,500,394.824771,train_env0.monitor,57,28500,-296899.332989,500.0
-289475.054167,500,395.896431,train_env1.monitor,58,29000,-296437.33377762,500.0
-283267.942383,500,396.929591,train_env2.monitor,59,29500,-296116.54760292,500.0
-264395.539116,500,398.017297,train_env3.monitor,60,30000,-295171.8808201,500.0
-296667.695621,500,422.48475,train_env0.monitor,61,30500,-294963.20988606004,500.0
-321682.036129,500,422.945928,train_env1.monitor,62,31000,-296550.19098358,500.0
-301879.939529,500,423.402266,train_env2.monitor,63,31500,-296555.9321171,500.0
-311683.011074,500,423.8276,train_env3.monitor,64,32000,-296978.7963617,500.0
-313967.117776,500,451.662236,train_env0.monitor,65,32500,-297478.22111286,500.0
-306815.138481,500,452.714137,train_env1.monitor,66,33000,-298447.1439969,500.0
-319559.467685,500,453.765704,train_env2.monitor,67,33500,-297809.07925812,500.0
-328294.495976,500,454.825715,train_env3.monitor,68,34000,-299891.90014376,500.0
-299477.051008,500,470.386409,train_env0.monitor,69,34500,-299421.53506698,500.0
-224770.632735,500,471.4634,train_env1.monitor,70,35000,-297734.82698842,500.0
-291220.153245,500,472.579787,train_env2.monitor,71,35500,-297307.45930767996,500.0
-299552.966787,500,473.609861,train_env3.monitor,72,36000,-297365.72370882,500.0
-296581.291407,500,489.158797,train_env0.monitor,73,36500,-296713.42878326005,500.0
-296405.771398,500,490.580769,train_env1.monitor,74,37000,-297001.93934676005,500.0
-264318.717797,500,492.000275,train_env2.monitor,75,37500,-295959.98620462,500.0
-291036.290961,500,493.367362,train_env3.monitor,76,38000,-296021.0579147,500.0
-296049.049073,500,510.247412,train_env0.monitor,77,38500,-296244.01916406,500.0
-320562.491002,500,511.54508,train_env1.monitor,78,39000,-296499.18893146,500.0
-308575.508646,500,512.841523,train_env2.monitor,79,39500,-297070.26014194003,500.0
-271855.996742,500,514.115449,train_env3.monitor,80,40000,-297232.24625378,500.0
-278575.065455,500,575.453727,train_env0.monitor,81,40500,-296665.30955068,500.0
-299111.845759,500,576.566845,train_env1.monitor,82,41000,-296822.75021317997,500.0
-273680.574308,500,577.65395,train_env2.monitor,83,41500,-296295.6605102,500.0
-272912.358656,500,578.736615,train_env3.monitor,84,42000,-296283.65918618,500.0
-294051.506286,500,594.400127,train_env0.monitor,85,42500,-294915.59797064005,500.0
-267689.34438,500,595.566037,train_env1.monitor,86,43000,-293984.49196318,500.0
-277061.412448,500,596.626891,train_env2.monitor,87,43500,-293864.93685490004,500.0
