#{"t_start": 1787812824.3871856, "env_id": "None"}
r,l,t
-310483.835151,500,26.117543
-277606.216077,500,45.40097
-311628.878257,500,64.785043
-290539.798844,500,83.968102
-224153.451694,500,117.037942
-296639.74673,500,166.36314
-287982.705457,500,185.452371
-263756.69115,500,204.331928
-273512.424857,500,237.155527
-284613.568398,500,256.315517
-278178.713079,500,306.94086
-304591.871534,500,326.775727
-324335.739844,500,360.707178
-278003.788451,500,380.099169
-289475.054167,500,395.896431
-321682.036129,500,422.945928
-306815.138481,500,452.714137
-224770.632735,500,471.4634
-296405.771398,500,490.580769
-320562.491002,500,511.54508
-299111.845759,500,576.566845
-267689.34438,500,595.566037
-240484.743194,500,614.502765
-274965.377945,500,633.908889
-348995.775112,500,666.771076
-284757.992253,500,716.69451
-253181.897919,500,735.994817
-285785.266213,500,754.665998
-286827.757886,500,778.690547
-289402.533519,500,793.600232
-321245.557803,500,842.167504
-307557.773723,500,861.341508
-284356.44851,500,893.936005
-282215.252045,500,913.417019
-282399.072267,500,932.337468
-290036.158871,500,981.57778
-336672.240439,500,1014.366314
-291681.271408,500,1033.567271
-257726.126651,500,1052.263867
-293644.703581,500,1071.428992
-264308.207328,500,1134.350245
-254268.622682,500,1153.491705
-286400.774278,500,1172.328892
-300698.280027,500,1191.371548
-343760.073333,500,1210.045666
-286141.199403,500,1260.960512
-329937.443417,500,1279.491028
-297876.03348,500,1298.367422
-420842.846976,500,1317.205451
-226423.345235,500,1349.34865
-279687.146967,500,1398.158436
-308206.126831,500,1417.303856
-277737.17249,500,1436.727004
-311466.60062,500,1468.600573
-236594.633438,500,1487.304628
-238771.253392,500,1534.638646
-296979.528242,500,1552.97456
-275751.052604,500,1584.576335
-291466.071151,500,1601.998662
-279870.866264,500,1619.605095
-332879.429659,500,1668.236644
-279236.380167,500,1700.874979
-297349.90946,500,1720.179839
-270108.669362,500,1739.574012
-301299.216106,500,1758.883505
-264472.199504,500,1820.577318
-309738.30837,500,1839.791397
-225325.430199,500,1859.233916
-324160.752562,500,1878.381171
-270770.825218,500,1910.917955
-345763.481309,500,1960.235255
-246651.241403,500,1979.37059
-335810.909483,500,1998.740159
-314858.977104,500,2031.389664
-285992.21548,500,2050.331759
-291777.508405,500,2099.123036
-269907.092638,500,2118.248393
-282326.328762,500,2149.727078
-269025.647006,500,2168.152612
-238643.105223,500,2187.308167
-349256.108372,500,2235.58608
-329289.27054,500,2267.4663
-314543.026486,500,2285.557638
-301643.61629,500,2303.873401
-283745.775319,500,2322.737399
-299310.449252,500,2370.132468
-304267.657263,500,2402.548743
-259854.956769,500,2421.061084
-272123.896228,500,2439.85191
-316711.648465,500,2458.225105
-286433.646251,500,2514.652328
-267619.686354,500,2533.920625
-274177.203167,500,2553.111479
-314315.406279,500,2572.499775
-302593.634586,500,2604.812042
-343617.855101,500,2653.6465
-307644.449789,500,2672.800342
-273179.293492,500,2691.867658
-296216.834161,500,2715.736779
-298796.499315,500,2726.696774
-266539.027542,500,2750.962388
-389075.736484,500,2762.466447
-305085.120575,500,2787.395659
-287792.681159,500,2799.267914
-263365.77977,500,2811.186761
-279888.255528,500,2835.049832
-225960.604305,500,2847.740359
-239520.031545,500,2854.207486
-274352.4696,500,2860.590927
-260058.448647,500,2866.780713
-322441.558425,500,2888.24039
-336270.331262,500,2894.234705
-290572.609708,500,2899.916335
-252719.7334,500,2908.319577
-183884.90537,500,2937.946154
-233913.431381,500,2977.329111
-184947.662874,500,2993.207261
-260071.124399,500,3007.650563
-218440.388721,500,3034.701194
-273641.669856,500,3050.541425
-303728.739801,500,3087.855407
-346851.317041,500,3101.383952
-237659.444842,500,3114.464095
-418188.04446,500,3122.775668
-253885.257206,500,3134.218915
-342406.042466,500,3161.208058
-269463.552235,500,3174.814988
-308466.870679,500,3180.991931
-276686.648564,500,3187.072357
-246246.15793,500,3193.34358
-294891.113303,500,3211.869064
-266072.876672,500,3225.713994
-241436.80816,500,3232.305797
-318817.047042,500,3238.617279
-292367.658991,500,3244.623323
-254250.948901,500,3266.616383
-267636.639535,500,3273.057394
-222595.297562,500,3280.614254
-218620.875006,500,3289.493103
-181718.293128,500,3309.9857
-306923.465124,500,3326.397742
-290971.631973,500,3332.0249
-222762.452617,500,3338.347076
-297258.87787,500,3351.825504
-261602.364473,500,3357.978354
-306794.274195,500,3374.835516
-242806.541722,500,3381.6339
-331425.133118,500,3395.453866
-242581.524653,500,3402.608964
-284003.293105,500,3409.079105
-262544.86863,500,3427.591645
-292739.579744,500,3441.355842
-290843.140056,500,3447.999616
-217614.346476,500,3456.947663
-283537.044365,500,3470.582219
-263350.495574,500,3509.620484
-262910.873928,500,3521.05199
-254798.489709,500,3527.908226
-272429.068316,500,3534.25762
-247449.926769,500,3546.231429
-270734.410472,500,3563.368819
-401249.344348,500,3570.498438
-305786.79327,500,3577.344895
-283981.983244,500,3590.256279
-253618.807651,500,3596.442413
-311517.692003,500,3613.661055
-273381.752364,500,3620.689366
-174223.802433,500,3633.108037
-238153.792621,500,3639.385678
-305194.62567,500,3645.96402
-272985.524435,500,3662.097429
-190577.767971,500,3669.233723
-241090.051895,500,3681.528049
-261977.948602,500,3687.831555
-276612.384778,500,3694.440287
-316307.187672,500,3711.574099
-286098.660508,500,3724.080614
-318640.609042,500,3731.072653
-255936.329252,500,3737.83405
-303415.317661,500,3744.832027
-300665.11366,500,3768.33854
-211515.98379,500,3774.483299
-249227.232207,500,3780.50422
-316536.315341,500,3786.900121
-288617.923277,500,3798.931144
-196120.838215,500,3815.698383
-316966.322818,500,3822.789923
-227412.490836,500,3829.927681
-321095.084879,500,3842.544652
-221222.21459,500,3849.358379
-235127.298933,500,3867.097734
-230604.317322,500,3873.940308
-256378.99763,500,3886.411857
-293436.996996,500,3893.094741
-261854.292841,500,3899.445365
-260139.957392,500,3916.079525
-162939.514327,500,3929.334051
-219407.949744,500,3935.731477
-268173.524052,500,3942.060742
-255045.674322,500,3948.374621
-210003.943013,500,3970.924973
-273429.388698,500,3978.037708
-324183.015204,500,3985.158295
-169920.022753,500,3991.716957
-272701.081307,500,4004.579973
-254559.149213,500,4019.424291
-278120.223037,500,4026.318043
-193440.163004,500,4033.141618
-196486.311997,500,4045.57214
-235681.028049,500,4051.978872
-185221.275813,500,4068.254528
-225848.659982,500,4074.737853
-256061.469387,500,4086.960577
-285812.722398,500,4093.217206
-191380.915241,500,4100.080824
-207910.7748,500,4118.306042
-233325.927248,500,4127.739974
-286509.191092,500,4139.122257
-290004.975292,500,4144.706837
-207222.956835,500,4150.986542
-195503.193609,500,4169.313681
-276283.678568,500,4183.632636
-310970.945353,500,4192.522263
-231842.127547,500,4204.727974
-350245.830354,500,4217.231219
-255687.26747,500,4242.208218
-286020.850712,500,4248.744761
-316948.406462,500,4255.368393
-234302.510812,500,4260.907977
-221405.833952,500,4271.703679
-277649.973913,500,4286.872096
-228891.485287,500,4292.865048
-180042.050951,500,4300.022798
-175962.946076,500,4314.179104
-274773.08219,500,4320.579564
-208520.061054,500,4338.002356
-256720.931651,500,4344.545956
-280224.791317,500,4357.141444
-235522.480599,500,4367.075343
-254583.323487,500,4375.266022
-234337.146558,500,4395.69015
-266351.614573,500,4407.893365
-222505.922786,500,4412.644535
-292936.45473,500,4417.302086
-298295.222922,500,4422.219174
-235258.071917,500,4444.681986
-208478.21337,500,4451.26756
-234869.847009,500,4457.239406
-243483.420056,500,4461.292831
-307774.38801,500,4469.060727
-313422.814763,500,4484.303273
-249231.418517,500,4491.055974
-243427.039749,500,4498.264821
-250747.183122,500,4508.67589
-262445.127322,500,4514.102932
-257494.380276,500,4528.075675
-253702.668273,500,4533.832228
-275535.727123,500,4539.719787
-251773.562636,500,4550.136022
-182623.701768,500,4555.507674
-268193.439822,500,4567.44931
-313321.985648,500,4571.398441
-312551.076447,500,4579.121607
-211237.265461,500,4584.616452
-200314.828858,500,4589.45164
-221029.123348,500,4600.473351
-203951.512419,500,4608.674636
-196578.469209,500,4614.036026
-208834.124125,500,4618.938978
-216987.782854,500,4623.826607
-236038.649531,500,4642.48842
-253912.195694,500,4647.354214
-272343.906679,500,4652.22161
-266683.610472,500,4657.177117
-213691.914618,500,4666.424531
-181993.125783,500,4679.373569
-154608.763441,500,4684.444303
-244705.675194,500,4689.537066
-193749.034984,500,4698.731387
-220473.887638,500,4703.715312
-308312.999225,500,4717.450344
-248268.007355,500,4722.707021
-152233.10332,500,4732.171856
-197687.392711,500,4737.027201
-274775.475756,500,4741.983322
-262641.901766,500,4754.927177
-296135.736902,500,4764.250308
-184151.546366,500,4769.058138
-285701.236005,500,4773.942741
-152393.769886,500,4778.899462
-184388.84418,500,4796.543736
-269667.204919,500,4801.395568
-292523.13242,500,4806.439677
-248941.313206,500,4811.284356
-239741.627333,500,4820.653995
-161177.272009,500,4833.730316
-158328.617335,500,4838.859874
-279639.38431,500,4843.706203
-251844.014808,500,4848.640948
-287989.884945,500,4858.152809
-161882.027248,500,4871.271086
-294833.991427,500,4876.251008
-203124.263162,500,4885.166117
-271507.369758,500,4916.025678
-310117.152465,500,4933.657471
-322091.002669,500,4979.890529
-200826.497883,500,4997.659715
-246922.784601,500,5028.669897
-197081.593733,500,5046.410995
-275257.014306,500,5064.487081
-153213.097538,500,5110.757226
-249745.228428,500,5142.026464
-246727.649369,500,5160.016013
-301074.047651,500,5177.781593
-145445.217412,500,5195.847187
-164367.220627,500,5254.758851
-218532.61974,500,5272.336483
-306217.200255,500,5289.746306
-228917.811373,500,5307.461424
-258538.220061,500,5338.260056
-282317.177275,500,5384.707388
-240261.111595,500,5402.277132
-326716.14017,500,5419.969196
-231779.809772,500,5450.809647
-205368.501092,500,5468.438597
-232170.209564,500,5513.585584
-246916.749305,500,5531.62031
-207058.001445,500,5562.539631
-175569.851001,500,5580.205638
-124222.083184,500,5597.841919
-244922.975548,500,5643.588136
-237400.233753,500,5674.936062
-230059.573459,500,5692.58001
-296723.102716,500,5710.222787
-216051.311223,500,5727.9562
-262023.579112,500,5787.062972
-167682.118454,500,5804.962913
-179491.825949,500,5822.42985
-182970.643664,500,5840.205776
-189647.095475,500,5871.233291
-187597.654765,500,5917.560259
