custom/reward_coverage_mean,custom/reward_uav_separation_mean,custom/coverage_fraction_mean,custom/reward_dynamic_obstacle_avoidance_mean,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/collisions_uav_uav_mean,time/total_timesteps,custom/collisions_uav_dynamic_obstacle_mean,custom/valid_action_fraction_mean,custom/reward_collision_avoidance_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,custom/reward_total_mean,custom/reward_exploration_mean,custom/reward_mission_completion_mean,custom/reward_boundary_mean,custom/collisions_uav_static_obstacle_mean,custom/collisions_uav_boundary_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction
310.3362337078575,0.0,0.17235198019801978,-2.0697638731723473,-301641.60621712497,-17.03095147662831,0.0,8192,0.0,0.29776777372743884,-67.0,97,1,84,500.0,-51.88840915964544,5.835172482297768,0.0,-281.95910000000003,2.32,32.14,,,,,,,,,,,,
,,,,,,,10000,,,,,,,,,,,,,,-0.07880948259335127,0.0003,0.051521894,10,-0.1773601621389389,500.0,-323923.20391060004,0.05211595046639559,0.2,0.25578564405441284,-4.810550068318844,0.3650390625
9.706110653753031,-4.0007781936620646,0.2309388059701493,-0.6529182443180989,-299794.75576050003,-17.820160280209933,1.5,16384,0.75,0.17314853232790633,-21.0,79,2,205,500.0,-614.19991021891,0.751335845527022,0.0,-581.1835000000001,3.35,132.73,,,,,,,,,,,,
,,,,,,,20000,,,,,,,,,,,,,,-0.10307104092353256,0.0003,0.05984085,20,-0.1893819272518158,500.0,-343584.7544586,0.01066228762110768,0.2,0.7043201923370361,-4.765235877037048,0.48089599609375
27.197247868572113,-75.78060597695762,0.2535590066906845,-0.34433123015588873,-297821.34185854165,-17.817331734965407,2.44,24576,1.5,0.12172316044833002,-18.5,74,3,330,500.0,-712.4662436675795,0.49967740592740595,0.0,-627.7209000000001,7.4,225.21,,,,,,,,,,,,
,,,,,,,30000,,,,,,,,,,,,,,-0.11003540337842424,0.0003,0.07171101,30,-0.19507481157779694,500.0,-300626.8167974,0.008311029835113004,0.2,0.8245262503623962,-4.713091583549977,0.54161376953125
16.508645513413505,-64.80140292583371,0.2027466689350485,-1.7907161311519473,-298872.5100478438,-18.566174289031473,14.3,32768,0.5,0.07055413596425264,0.0,77,4,424,500.0,-708.3760884560324,0.5046593765711413,0.0,-640.2311000000002,1.25,445.01,,,,,,,,,,,,
,,,,,,,40000,,,,,,,,,,,,,,-0.10991389880146016,0.0003,0.07720979,40,-0.19818800687789917,500.0,-277053.6890186,0.007747538481362426,0.2,0.8411046266555786,-4.66275292634964,0.55338134765625
-1.1582999999999997,-45.54489825801664,0.22430693069306934,-9.159655830386678,-298211.0347972625,-19.07839984997802,17.84,40960,2.12,0.061465041774046936,-5.5,74,5,550,500.0,-707.864608958851,0.2975449795302737,0.0,-627.7209000000003,2.32,503.77,,,,,,,,,,,,
-12.7674,-46.31003964884719,0.16831515855780574,-6.2321812798942835,-295327.82855684374,-16.190259685028636,25.56,49152,1.86,0.03746520230054285,-4.5,76,6,640,500.0,-666.956017385332,0.4790632284382285,0.0,-581.4352000000001,0.75,698.27,-0.11109502328472445,0.0003,0.08813088,50,-0.191745325922966,,,0.006674692411797878,0.2,0.7911524772644043,-4.623553073406219,0.5821044921875
,,,,,,,50000,,,,,,,,,,,,,,-0.11181788004760165,0.0003,0.097306505,60,-0.1918964385986328,500.0,-289306.1063856,0.005861346824349312,0.2,0.7971707582473755,-4.570049044489861,0.59537353515625
-0.831424390243902,-104.66648127023817,0.27418766316930204,-1.4023802935314464,-296322.07023610995,-18.994652946268403,31.16,57344,0.25,0.05373926432104852,-17.0,75,7,763,500.0,-767.0873365114941,0.2768023887876829,0.0,-624.4692000000001,5.04,786.12,,,,,,,,,,,,
,,,,,,,60000,,,,,,,,,,,,,,-0.1126157147824415,0.0003,0.10503127,70,-0.1952725052833557,500.0,-347816.7372854,0.00623075511693969,0.2,0.7511297464370728,-4.519160869717598,0.60562744140625
-2.4912,-113.91789333188878,0.23305086647919257,-0.3263023512552209,-296773.48300208995,-17.73503285374386,54.46,65536,2.0,0.03944134845109659,-41.0,75,8,871,500.0,-825.3614770217364,0.09515151515151515,0.0,-649.9862,14.6,924.37,,,,,,,,,,,,
,,,,,,,70000,,,,,,,,,,,,,,-0.11262287177960388,0.0003,0.111666806,80,-0.19533264636993408,500.0,-266529.91364780004,0.005473255791321208,0.2,0.765884518623352,-4.472319360077381,0.6159912109375
