#{"t_start": 1787770267.9824414, "env_id": "None"}
r,l,t
-317752.284756,500,9.386472
-278342.411461,500,31.417184
-336314.964898,500,54.247993
-295276.740035,500,63.35978
-303956.669832,500,71.745561
-284548.792776,500,90.660969
-306036.040719,500,99.023148
-271367.135237,500,108.009391
-334051.462609,500,116.97125
-283889.872566,500,125.251061
-306072.450867,500,144.111135
-328193.234252,500,150.958916
-309510.038974,500,158.436352
-317612.76075,500,165.166782
-262609.841235,500,172.176925
-355436.90736,500,191.208688
-325599.255175,500,199.010422
-307072.882741,500,207.329246
-330835.293639,500,214.006463
-331432.155486,500,221.563358
-305131.896058,500,240.124008
-311737.864152,500,247.02083
-319635.802383,500,253.787002
-302296.173255,500,260.434992
-291054.241713,500,266.953848
-291377.687102,500,281.900196
-256452.226277,500,288.309773
-297740.648441,500,294.767188
-304035.380302,500,301.108415
-313293.287084,500,307.450927
-294903.719359,500,324.325711
-264970.285376,500,331.813428
-312147.146011,500,338.171594
-286433.991516,500,344.458752
-315623.642117,500,351.019583
-320237.534647,500,366.042328
-424390.725753,500,372.264837
-327037.017254,500,378.850244
-349224.635299,500,385.204856
-249417.423107,500,391.735245
-236316.746424,500,406.888409
-309514.290819,500,413.503218
-286031.405632,500,418.493169
-269095.292339,500,424.764053
-311663.792056,500,430.922901
-279867.689695,500,445.52913
-346248.127743,500,451.937037
-272750.566038,500,458.493424
-267066.631461,500,464.799158
-295656.11238,500,471.221969
-318245.177874,500,486.489521
-269630.412987,500,492.742223
-284000.941372,500,499.252731
-308322.369748,500,505.647381
-313915.779411,500,512.113961
-316302.262893,500,526.660889
-280862.079093,500,533.130414
-326945.466895,500,539.426026
-285638.266572,500,545.893653
-233796.982316,500,552.315956
-269390.844797,500,567.0583
-254800.827475,500,585.971298
-298331.669153,500,592.479305
-271518.016773,500,599.153978
-347495.435598,500,606.397653
-297245.761691,500,621.296844
-307730.762515,500,627.575335
-235782.680489,500,634.331583
-396014.847659,500,640.82437
-269725.254021,500,647.156457
-287319.069841,500,662.215482
-284808.784471,500,668.738686
-312252.632122,500,675.199406
-311834.573181,500,681.46079
-288764.658091,500,687.83554
-268863.115467,500,702.923091
-201384.540734,500,709.225978
-270938.049837,500,715.614139
-280198.276496,500,722.029429
-242533.545775,500,728.234198
-320215.801418,500,742.948374
-248964.405392,500,749.067582
-332419.284139,500,755.747193
-317225.494523,500,762.089162
-280346.876878,500,768.538316
-288762.010204,500,782.29085
-301425.461152,500,788.919014
-260583.731151,500,795.268987
-253434.630439,500,801.449887
-247481.046544,500,807.807234
-288137.290774,500,823.073198
-250908.702059,500,841.03101
-324044.595763,500,862.306373
-231572.118297,500,883.671033
-322519.224806,500,905.074611
-270460.739609,500,955.242512
-220786.643873,500,976.122001
-253230.778414,500,997.526517
-296604.765594,500,1018.685014
-264015.330431,500,1040.045009
