2026-07-27 02:50:35,051 | INFO    | uav_swarm_ppo.experiments.run_experiment | Building SwarmFarmEnv...
2026-07-27 02:50:35,639 | INFO    | uav_swarm_ppo.experiments.run_experiment | Initial info: {'coverage_fraction': 0.01485148514851485, 'valid_action_fraction': 0.0, 'collision_counts': {'uav_uav': 0, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 0, 'uav_boundary': 0}, 'step_count': 0}
2026-07-27 02:50:52,598 | INFO    | uav_swarm_ppo.experiments.run_experiment | Gymnasium render() returned array of shape (900, 900, 3) dtype uint8
2026-07-27 02:50:52,604 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=  0 reward= 3892.26 cum_reward=   3892.26 coverage=0.025 valid_action_frac=0.667 breakdown={'exploration': 13.5, 'coverage': 3915.0, 'collision_avoidance': 0.0, 'boundary': 0.0, 'dynamic_obstacle_avoidance': -17.5, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-18.7)}
2026-07-27 02:50:52,640 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 20 reward=  -33.03 cum_reward=  24543.73 coverage=0.183 valid_action_frac=0.540 breakdown={'exploration': 6.2, 'coverage': 521.5, 'collision_avoidance': 0.0, 'boundary': -525.2, 'dynamic_obstacle_avoidance': -16.6, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-18.9)}
2026-07-27 02:50:52,670 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 40 reward= -279.92 cum_reward=  20896.68 coverage=0.277 valid_action_frac=0.431 breakdown={'exploration': 3.3, 'coverage': 486.9, 'collision_avoidance': 0.0, 'boundary': -750.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-19.8)}
2026-07-27 02:50:52,697 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 60 reward=-2394.31 cum_reward= -16345.54 coverage=0.282 valid_action_frac=0.295 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -800.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -3.9, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-14.9)}
2026-07-27 02:50:52,743 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 80 reward=-1585.73 cum_reward= -45775.87 coverage=0.287 valid_action_frac=0.226 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-10.2)}
2026-07-27 02:50:52,791 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=100 reward=-1617.94 cum_reward= -76049.58 coverage=0.292 valid_action_frac=0.185 breakdown={'exploration': 1.9, 'coverage': 0.0, 'collision_avoidance': -550.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-19.5)}
2026-07-27 02:50:52,825 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=120 reward=-1604.10 cum_reward=-104927.77 coverage=0.297 valid_action_frac=0.157 breakdown={'exploration': 1.2, 'coverage': 0.0, 'collision_avoidance': -550.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-5.0)}
2026-07-27 02:50:52,865 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=140 reward=-1623.29 cum_reward=-140026.74 coverage=0.297 valid_action_frac=0.135 breakdown={'exploration': 1.2, 'coverage': 0.0, 'collision_avoidance': -550.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-24.2)}
2026-07-27 02:50:52,961 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=160 reward=-2000.94 cum_reward=-175987.58 coverage=0.297 valid_action_frac=0.118 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-25.4)}
2026-07-27 02:50:53,076 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=180 reward=-2501.45 cum_reward=-216886.05 coverage=0.297 valid_action_frac=0.105 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -912.1, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-13.9)}
2026-07-27 02:50:53,178 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=200 reward=-1992.92 cum_reward=-252210.64 coverage=0.297 valid_action_frac=0.095 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-17.4)}
2026-07-27 02:50:53,280 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=220 reward=-1107.94 cum_reward=-272783.84 coverage=0.317 valid_action_frac=0.092 breakdown={'exploration': 0.5, 'coverage': -31.1, 'collision_avoidance': 0.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': -14.5, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-12.5)}
2026-07-27 02:50:53,376 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=240 reward=-1224.28 cum_reward=-300451.26 coverage=0.322 valid_action_frac=0.086 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -150.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-23.9)}
2026-07-27 02:50:53,460 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=260 reward=-1589.74 cum_reward=-330879.69 coverage=0.322 valid_action_frac=0.079 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-14.2)}
2026-07-27 02:50:53,539 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=280 reward=-1534.11 cum_reward=-361034.09 coverage=0.322 valid_action_frac=0.074 breakdown={'exploration': 2.2, 'coverage': 0.0, 'collision_avoidance': -700.0, 'boundary': -825.2, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-11.1)}
2026-07-27 02:50:53,652 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=300 reward=-1501.22 cum_reward=-391854.13 coverage=0.322 valid_action_frac=0.069 breakdown={'exploration': 0.4, 'coverage': -31.1, 'collision_avoidance': -400.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-20.1)}
2026-07-27 02:50:53,746 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=320 reward=-1684.76 cum_reward=-419203.65 coverage=0.322 valid_action_frac=0.064 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1275.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-9.3)}
2026-07-27 02:50:53,849 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=340 reward=-1632.53 cum_reward=-454061.19 coverage=0.322 valid_action_frac=0.061 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -30.5, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-26.5)}
2026-07-27 02:50:54,004 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=360 reward=-1612.56 cum_reward=-482333.48 coverage=0.322 valid_action_frac=0.057 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -550.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-12.2)}
2026-07-27 02:50:54,113 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=380 reward=-1601.31 cum_reward=-515189.31 coverage=0.322 valid_action_frac=0.054 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-25.8)}
2026-07-27 02:50:54,228 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=400 reward=-1590.50 cum_reward=-546983.17 coverage=0.322 valid_action_frac=0.052 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-15.0)}
2026-07-27 02:50:54,332 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=420 reward=-1606.39 cum_reward=-578522.54 coverage=0.322 valid_action_frac=0.049 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-30.9)}
