time/iterations,custom/collisions_uav_uav_mean,custom/valid_action_fraction_mean,rollout/ep_len_mean,time/total_timesteps,custom/collisions_uav_static_obstacle_mean,custom/reward_exploration_mean,time/fps,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,custom/reward_coverage_mean,custom/coverage_fraction_mean,custom/reward_boundary_mean,custom/reward_collision_avoidance_mean,rollout/ep_rew_mean,custom/reward_dynamic_obstacle_avoidance_mean,custom/reward_uav_separation_mean,custom/reward_mission_completion_mean,custom/reward_total_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
1,36.62,0.17714362475997533,500.0,2048,13.95,5.514528747629855,205,9,-16.49427623950135,1.17,673.62,578.011103859376,0.12872920984308112,-353.76179999999994,-108.0,-328289.34548375,-2.2880831374191075,-45.381287737939566,0.0,57.60018549214582,,,,,,,,,,,,
2,2.46,0.43672408190506795,500.0,4096,0.84,8.860872563828462,121,33,-16.500944615467724,0.23,54.92,1006.8860634473335,0.09829345917471466,-127.8435,-51.5,-312726.1462875,-7.369707079160781,-9.0750403456206,0.0,803.4577439709132,0.23642578125,10,0.03151162,0.0003,0.2,-0.3590216636657715,0.20402989574358799,-0.06837147414917126,-4.820763564109802,-0.169449582695961,,
3,0.0,0.3118325407010958,500.0,6144,0.18,4.709340124819244,114,53,-17.08070320879064,0.0,18.44,311.75747304882,0.12239825870646764,-325.48969999999997,-34.5,-310722.25995725,-1.0000452899113856,-0.8280770964996396,0.0,-62.43171242156247,0.348876953125,20,0.043361694,0.0003,0.2,0.6212865710258484,0.027541156941151713,-0.09535314258828294,-4.799021565914154,-0.18953116238117218,,
4,0.0,0.26368531725252636,500.0,8192,3.47,5.031995021662205,131,62,-17.0601893964039,0.69,33.31,306.7563881525319,0.15485841584158416,-302.2244,-95.0,-303811.107186,-16.825128676134955,-1.465280127464734,0.0,-120.78661502580944,0.421533203125,30,0.04920026,0.0003,0.2,0.7194927334785461,0.01790918932383647,-0.10428466509329155,-4.786293292045594,-0.192630335688591,,
,,,,10000,,,,,,,,,,,,,,,,,0.467822265625,40,0.056341078,0.0003,0.2,0.7749630212783813,0.01527294335392071,-0.11042120313795749,-4.7631958544254305,-0.20031167566776276,-319630.3399432,500.0
5,0.36,0.2149809029782552,500.0,10240,2.76,3.871368824933386,124,82,-16.088052301530645,0.25,61.75,155.35893455224772,0.1677233830845771,-369.27200000000005,-51.0,-301003.5322901,-1.9230163113899155,-8.961932511580864,0.0,-288.01469774732027,,,,,,,,,,,,
6,1.78,0.2081983661931305,500.0,12288,1.25,1.0191980619999195,136,89,-18.079749726105575,0.0,84.88,69.054114856948,0.19881739810919552,-571.9250000000002,-1.5,-301747.0260693333,-1.3536332617792721,-47.227378377823136,0.0,-570.01244844676,0.491015625,50,0.060398716,0.0003,0.2,0.899446427822113,0.016018388218799372,-0.10968309259042144,-4.741035950183869,-0.1994217038154602,,
7,0.94,0.2441428284674314,500.0,14336,3.34,0.9863833266406796,146,98,-18.427101848915093,0.23,83.99,43.248174885057914,0.27502487562189054,-557.9182000000001,-31.5,-301353.07787407143,-7.448383953745726,-11.660143224542454,0.0,-582.7192708155047,0.508935546875,60,0.07215891,0.0003,0.2,0.7472589612007141,0.016818542805413016,-0.11116424488718621,-4.725226485729218,-0.19515062868595123,,
8,0.5,0.1511961069894077,500.0,16384,3.01,1.2911382194031273,151,107,-17.792938010803574,0.31,145.27,47.86751091820716,0.2037064676616915,-567.1767000000001,-10.0,-299396.79730621877,-6.5140459131038835,-1.6240211520290422,0.0,-553.9490559383262,0.512841796875,70,0.07590449,0.0003,0.2,0.6030216217041016,0.015191810150281527,-0.10992525205947459,-4.704017531871796,-0.199046790599823,,
9,0.5,0.1704495980724481,500.0,18432,2.5,0.6401739926739927,158,116,-16.21457580563316,0.0,142.06,25.63607525141898,0.25785221674876846,-610.9590000000001,0.0,-302113.9277169445,-2.5078597911734346,0.0,0.0,-603.4051863527136,0.5435546875,80,0.07946171,0.0003,0.2,0.5626272559165955,0.014300598502450157,-0.11607140671694652,-4.6668554782867435,-0.1959395855665207,,
