Method,Metric,Mean,Std
PPO,total_reward,-136143.41456300046,27922.206001803665
PPO,coverage_fraction,0.7086936156198388,0.0802572039291086
PPO,valid_action_fraction,0.09306666666666662,0.010433564072705894
PPO,steps,500.0,0.0
PPO,collisions_uav_uav,6.8,12.044362443345294
PPO,collisions_uav_static_obstacle,32.2,19.820303843393635
PPO,collisions_uav_dynamic_obstacle,1.6,1.429840705968481
PPO,collisions_uav_boundary,701.2,105.45436084971651
Q-Learning,total_reward,-458628.93102316716,185231.64167891003
Q-Learning,coverage_fraction,0.09713248451527012,0.03204189086471179
Q-Learning,valid_action_fraction,0.011055555555555515,0.004343422598057893
Q-Learning,steps,500.0,0.0
Q-Learning,collisions_uav_uav,103.83333333333333,225.0922369863411
Q-Learning,collisions_uav_static_obstacle,32.583333333333336,74.37553157436722
Q-Learning,collisions_uav_dynamic_obstacle,0.9166666666666666,1.5642792899510294
Q-Learning,collisions_uav_boundary,1479.4166666666667,8.479476113034057
A*,total_reward,-46365.15180075036,129134.56196405044
A*,coverage_fraction,0.9962700054438061,0.0064645457916359715
A*,valid_action_fraction,0.2215456259523923,0.08946455895010853
A*,steps,350.8125,138.6688879448846
A*,collisions_uav_uav,29.25,62.51451444367966
A*,collisions_uav_static_obstacle,10.3125,28.05114855908526
A*,collisions_uav_dynamic_obstacle,1.03125,1.2822453843966262
A*,collisions_uav_boundary,456.65625,419.3186185118008
