2026-07-26 07:03:53,160 | INFO    | uav_swarm_ppo.baselines.qlearning | Q-network input dimension: 1363 (hidden_units=167)
2026-07-26 07:04:07,546 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 1/3: reward=-594693.25 coverage=0.527 epsilon=0.437 mean_loss=1484926.5851
2026-07-26 07:04:09,969 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 2/3: reward=-614444.70 coverage=0.534 epsilon=0.407 mean_loss=788823.5768
2026-07-26 07:04:12,151 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 3/3: reward=-406096.40 coverage=0.670 epsilon=0.378 mean_loss=1056024.2301
2026-07-26 07:04:12,528 | INFO    | uav_swarm_ppo.baselines.qlearning | Q-Learning training complete. Model saved to results/models/qlearning/qlearning_final.pt
2026-07-26 07:04:23,624 | INFO    | uav_swarm_ppo.baselines.qlearning | Eval episode 0: reward=-760901.17 coverage=0.124
2026-07-26 07:04:24,459 | INFO    | uav_swarm_ppo.baselines.qlearning | Eval episode 1: reward=-830258.94 coverage=0.108
2026-08-28 00:17:18,813 | INFO    | uav_swarm_ppo.baselines.qlearning | Q-network input dimension: 1363 (hidden_units=167)
2026-08-28 00:17:24,456 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 1/200: reward=-340806.99 coverage=0.468 epsilon=0.437 mean_loss=903114.4736
2026-08-28 00:17:26,928 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 2/200: reward=-220534.87 coverage=0.745 epsilon=0.407 mean_loss=586144.3547
2026-08-28 00:17:29,405 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 3/200: reward=-180746.45 coverage=0.595 epsilon=0.378 mean_loss=339607.5527
2026-08-28 00:17:31,688 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 4/200: reward=-180442.88 coverage=0.743 epsilon=0.352 mean_loss=345458.2103
2026-08-28 00:17:34,457 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 5/200: reward=-204376.25 coverage=0.650 epsilon=0.327 mean_loss=325706.5009
2026-08-28 00:17:37,666 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 6/200: reward=-552804.57 coverage=0.399 epsilon=0.304 mean_loss=1307539.3437
2026-08-28 00:17:40,202 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 7/200: reward=-416448.16 coverage=0.567 epsilon=0.283 mean_loss=1242357.7124
2026-08-28 00:17:42,650 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 8/200: reward=-272237.02 coverage=0.585 epsilon=0.263 mean_loss=462460.7306
2026-08-28 00:17:45,244 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 9/200: reward=-215150.56 coverage=0.710 epsilon=0.245 mean_loss=459191.8023
2026-08-28 00:17:48,265 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 10/200: reward=-248170.12 coverage=0.647 epsilon=0.227 mean_loss=412955.2756
2026-08-28 00:17:50,925 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 11/200: reward=-236021.28 coverage=0.662 epsilon=0.212 mean_loss=371898.7413
2026-08-28 00:17:53,361 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 12/200: reward=-214836.69 coverage=0.591 epsilon=0.197 mean_loss=376689.3313
2026-08-28 00:17:55,599 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 13/200: reward=-334067.13 coverage=0.495 epsilon=0.183 mean_loss=587384.0751
2026-08-28 00:17:57,880 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 14/200: reward=-347186.19 coverage=0.525 epsilon=0.170 mean_loss=853716.7466
2026-08-28 00:18:00,166 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 15/200: reward=-406053.68 coverage=0.594 epsilon=0.158 mean_loss=958859.2568
2026-08-28 00:18:02,508 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 16/200: reward=-559947.83 coverage=0.515 epsilon=0.147 mean_loss=1467725.3882
2026-08-28 00:18:04,792 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 17/200: reward=-251224.15 coverage=0.385 epsilon=0.137 mean_loss=866163.4681
2026-08-28 00:18:07,177 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 18/200: reward=-436106.18 coverage=0.667 epsilon=0.127 mean_loss=932909.0357
2026-08-28 00:18:09,944 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 19/200: reward=-263298.41 coverage=0.680 epsilon=0.118 mean_loss=436786.9712
2026-08-28 00:18:12,515 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 20/200: reward=-578730.06 coverage=0.155 epsilon=0.110 mean_loss=828469.6494
2026-08-28 00:18:14,984 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 21/200: reward=-373971.60 coverage=0.305 epsilon=0.102 mean_loss=662894.2473
2026-08-28 00:18:17,184 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 22/200: reward=-234411.62 coverage=0.399 epsilon=0.095 mean_loss=590342.1547
2026-08-28 00:18:19,551 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 23/200: reward=-434423.50 coverage=0.416 epsilon=0.089 mean_loss=1038489.0439
2026-08-28 00:18:21,805 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 24/200: reward=-567363.31 coverage=0.488 epsilon=0.082 mean_loss=1537521.7422
