custom/valid_action_fraction_mean,custom/reward_uav_separation_mean,time/iterations,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/reward_collision_avoidance_mean,custom/coverage_fraction_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,rollout/ep_len_mean,custom/reward_mission_completion_mean,time/total_timesteps,custom/reward_total_mean,custom/collisions_uav_uav_mean,custom/collisions_uav_static_obstacle_mean,custom/reward_dynamic_obstacle_avoidance_mean,time/time_elapsed,custom/reward_boundary_mean,custom/reward_exploration_mean,time/fps,custom/reward_coverage_mean,train/policy_gradient_loss,eval/mean_ep_length,train/value_loss,train/learning_rate,train/approx_kl,eval/mean_reward,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/loss
0.29776777372743884,0.0,1,-301641.60621712497,-17.03095147662831,-67.0,0.17235198019801978,0.0,32.14,500.0,0.0,8192,-51.88840915964544,0.0,2.32,-2.0697638731723473,85,-281.95910000000003,5.835172482297768,95,310.3362337078575,,,,,,,,,,,,
,,,,,,,,,,,10000,,,,,,,,,,-0.07880948259335127,500.0,0.05211595046639559,0.0003,0.051521894,-323923.20391060004,0.2,0.3650390625,10,-4.810550068318844,0.25578564405441284,-0.1773601621389389
0.17314853232790633,-4.0007781936620646,2,-299794.75576050003,-17.820160280209933,-21.0,0.2309388059701493,0.75,132.73,500.0,0.0,16384,-614.19991021891,1.5,3.35,-0.6529182443180989,197,-581.1835000000001,0.751335845527022,83,9.706110653753031,,,,,,,,,,,,
,,,,,,,,,,,20000,,,,,,,,,,-0.10307104092353256,500.0,0.01066228762110768,0.0003,0.05984085,-343584.7544586,0.2,0.48089599609375,20,-4.765235877037048,0.7043201923370361,-0.1893819272518158
0.12172316044833002,-75.78060597695762,3,-297821.34185854165,-17.817331734965407,-18.5,0.2535590066906845,1.5,225.21,500.0,0.0,24576,-712.4662436675795,2.44,7.4,-0.34433123015588873,318,-627.7209000000001,0.49967740592740595,77,27.197247868572113,,,,,,,,,,,,
,,,,,,,,,,,30000,,,,,,,,,,-0.11003540337842424,500.0,0.008311029835113004,0.0003,0.07171101,-300626.8167974,0.2,0.54161376953125,30,-4.713091583549977,0.8245262503623962,-0.19507481157779694
0.07055413596425264,-64.80140292583371,4,-298872.5100478438,-18.566174289031473,0.0,0.2027466689350485,0.5,445.01,500.0,0.0,32768,-708.3760884560324,14.3,1.25,-1.7907161311519473,424,-640.2311000000002,0.5046593765711413,77,16.508645513413505,,,,,,,,,,,,
,,,,,,,,,,,40000,,,,,,,,,,-0.10991389880146016,500.0,0.007747538481362426,0.0003,0.07720979,-277053.6890186,0.2,0.55338134765625,40,-4.66275292634964,0.8411046266555786,-0.19818800687789917
0.061465041774046936,-45.54489825801664,5,-298211.0347972625,-19.07839984997802,-5.5,0.22430693069306934,2.12,503.77,500.0,0.0,40960,-707.864608958851,17.84,2.32,-9.159655830386678,539,-627.7209000000003,0.2975449795302737,75,-1.1582999999999997,,,,,,,,,,,,
0.03746520230054285,-46.31003964884719,6,-295327.82855684374,-16.190259685028636,-4.5,0.16831515855780574,1.86,698.27,500.0,0.0,49152,-666.956017385332,25.56,0.75,-6.2321812798942835,589,-581.4352000000001,0.4790632284382285,83,-12.7674,-0.11109502328472445,,0.006674692411797878,0.0003,0.08813088,,0.2,0.5821044921875,50,-4.623553073406219,0.7911524772644043,-0.191745325922966
,,,,,,,,,,,50000,,,,,,,,,,-0.11181788004760165,500.0,0.005861346824349312,0.0003,0.097306505,-289306.1063856,0.2,0.59537353515625,60,-4.570049044489861,0.7971707582473755,-0.1918964385986328
0.05373926432104852,-104.66648127023817,7,-296322.07023610995,-18.994652946268403,-17.0,0.27418766316930204,0.25,786.12,500.0,0.0,57344,-767.0873365114941,31.16,5.04,-1.4023802935314464,623,-624.4692000000001,0.2768023887876829,91,-0.831424390243902,,,,,,,,,,,,
