custom/reward_total_mean,custom/reward_exploration_mean,custom/reward_coverage_mean,custom/collisions_uav_boundary_mean,custom/collisions_uav_dynamic_obstacle_mean,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/reward_collision_avoidance_mean,custom/reward_boundary_mean,time/fps,time/total_timesteps,custom/coverage_fraction_mean,custom/reward_mission_completion_mean,custom/collisions_uav_uav_mean,custom/reward_uav_separation_mean,custom/valid_action_fraction_mean,custom/collisions_uav_static_obstacle_mean,time/iterations,custom/reward_dynamic_obstacle_avoidance_mean,train/entropy_loss,eval/mean_ep_length,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,eval/mean_reward,rollout/ep_rew_mean,rollout/ep_len_mean
-1463.5225899783968,0.618791378899738,19.98538392549753,609.58,1.5,3,-16.548045923706887,-12.5,-1424.7073,326,1024,0.18555221057234952,0.0,46.52,-27.7864574908676,0.04702416631116591,11.39,1,-2.58496186821956,,,,,,,,,,,,,,
,,,,,,,,,,2000,,,,,,,,,-4.828269600868225,500.0,0.2,599421440.0,4.1897874e-07,-6.03838125243783e-05,1.9073486328125e-06,0.0003,0.0,300734304.0,4,-703268.7475045,,
-378.87733926970554,5.56750090619025,578.5267201781616,673.5,1.04,9,-16.4313784737178,-106.5,-819.2652,206,2048,0.1287482653143363,0.0,34.78,-18.486898742920523,0.17714362475997533,12.39,2,-2.2880831374191075,,,,,,,,,,,,,-715494.490882,500.0
-1506.2321005262697,0.39824952824952825,-5.162246808510638,584.77,1.5,12,-16.185688758442886,-28.5,-1397.6937,255,3072,0.22203407960199006,0.0,32.62,-55.33313739538493,0.054104317355304375,4.19,3,-3.7555770921808223,-4.82826641201973,,0.2,567909872.0,1.5669502e-07,-2.645634231157601e-05,1.7523765563964844e-05,0.0003,0.0,291648992.0,8,,-715494.490882,500.0
,,,,,,,,,,4000,,,,,,,,,-4.828257083892822,500.0,0.2,490702204.0,1.823646e-07,-3.986660158261657e-05,-2.384185791015625e-07,0.0003,0.0,257744624.0,12,-719381.933492,,
664.1885153245271,8.924522904902414,1012.0964564226211,54.31,0.28,18,-16.52716267680125,-45.0,-291.84349999999995,216,4096,0.09781416447175886,0.0,3.16,-0.3112810180879748,0.43742331567800535,0.46,4,-3.150520308107156,,,,,,,,,,,,,-696653.9674627499,500.0
-1562.9798732840009,0.16909722222222226,-4.3596,633.3,0.63,21,-16.91162231467926,-13.0,-1480.2311000000002,240,5120,0.2851803482587064,0.0,9.3,-45.05229950740465,0.06783521014052551,8.19,5,-3.5943486841392858,-4.828255385160446,,0.2,568855580.0,1.0599615e-07,-1.5451660146936774e-05,1.7881393432617188e-06,0.0003,0.0,287062976.0,16,,-696653.9674627499,500.0
,,,,,,,,,,6000,,,,,,,,,-4.828263819217682,500.0,0.2,521994698.0,1.2217788e-07,-3.1266186852008104e-05,1.1920928955078125e-07,0.0003,0.0,255941328.0,20,-689650.7422565001,,
-480.67947531543194,4.521823151674832,295.85974359666596,17.94,0.0,28,-17.127918926063998,-41.5,-702.2311999999998,214,6144,0.12012512437810947,0.0,0.5,-18.971175212419254,0.3054514936371435,0.25,6,-1.2307479252895375,,,,,,,,,,,,,-686775.17663,500.0
-1396.760862391397,0.271431958349528,12.250045578420467,684.01,1.0,31,-15.797202392399104,-1.5,-1390.9386000000002,231,7168,0.20798308457711442,0.0,25.0,-1.0465375357675921,0.0460597027358688,2.5,7,0.0,-4.828264266252518,,0.2,523779950.0,1.4062971e-07,-2.740652416832745e-05,1.2516975402832031e-06,0.0003,0.0,264418656.0,24,,-686775.17663,500.0
,,,,,,,,,,8000,,,,,,,,,-4.828262567520142,500.0,0.2,562021612.0,7.7998266e-08,-1.1579380952753127e-05,4.76837158203125e-07,0.0003,0.0,283590752.0,28,-632664.295319,,
-428.24594973390407,5.842091095085944,309.94557916240296,33.05,0.0,38,-17.03095147662831,-55.5,-668.4624999999999,214,8192,0.17121336633663364,0.0,0.0,0.0,0.2955259442312303,1.86,8,-3.0401685147647,,,,,,,,,,,,,-680966.559882625,500.0
