2026-07-24 19:21:13,709 | INFO    | uav_swarm_ppo.ppo.train | Building 4 parallel training environment(s)...
2026-07-24 19:21:13,794 | INFO    | uav_swarm_ppo.ppo.train | Building evaluation environment...
2026-07-24 19:21:15,160 | INFO    | uav_swarm_ppo.ppo.train | Starting PPO training for 8000 timesteps (n_envs=4, n_steps=256, batch_size=256)...
2026-07-24 19:21:53,685 | INFO    | uav_swarm_ppo.ppo.train | Training complete. Final model saved to results/models/ppo_swarm_final.zip
2026-08-21 00:56:39,731 | INFO    | uav_swarm_ppo.ppo.train | Building 4 parallel training environment(s)...
2026-08-21 00:56:39,952 | INFO    | uav_swarm_ppo.ppo.train | Building evaluation environment...
2026-08-21 00:56:40,007 | INFO    | uav_swarm_ppo.ppo.train | Wrapping train/eval envs with VecNormalize (norm_obs=True, norm_reward=True, clip_obs=10.0, clip_reward=10.0, norm_obs_keys=None)...
2026-08-21 00:56:45,711 | INFO    | uav_swarm_ppo.ppo.train | Starting PPO training for 15000 timesteps (n_envs=4, n_steps=512, batch_size=256)...
2026-08-21 01:00:36,426 | INFO    | uav_swarm_ppo.ppo.train | Training complete. Final model saved to results/models\ppo_swarm_final.zip
2026-08-21 01:00:36,427 | INFO    | uav_swarm_ppo.ppo.train | Final VecNormalize statistics saved to results/models\vecnormalize_final.pkl
2026-08-27 00:21:07,932 | INFO    | uav_swarm_ppo.ppo.train | Building 4 parallel training environment(s)...
2026-08-27 00:21:08,062 | INFO    | uav_swarm_ppo.ppo.train | Building evaluation environment...
2026-08-27 00:21:08,091 | INFO    | uav_swarm_ppo.ppo.train | Wrapping train/eval envs with VecNormalize (norm_obs=True, norm_reward=True, clip_obs=10.0, clip_reward=10.0, norm_obs_keys=None)...
2026-08-27 00:21:11,647 | INFO    | uav_swarm_ppo.ppo.train | Starting PPO training for 200000 timesteps (n_envs=4, n_steps=512, batch_size=256)...
2026-08-27 00:39:10,805 | INFO    | uav_swarm_ppo.ppo.train | Training complete. Final model saved to results/models\ppo_swarm_final.zip
2026-08-27 00:39:10,806 | INFO    | uav_swarm_ppo.ppo.train | Final VecNormalize statistics saved to results/models\vecnormalize_final.pkl
2026-08-27 01:19:43,575 | INFO    | uav_swarm_ppo.ppo.train | Building 4 parallel training environment(s)...
2026-08-27 01:19:43,723 | INFO    | uav_swarm_ppo.ppo.train | Building evaluation environment...
2026-08-27 01:19:43,773 | INFO    | uav_swarm_ppo.ppo.train | Wrapping train/eval envs with VecNormalize (norm_obs=True, norm_reward=True, clip_obs=10.0, clip_reward=10.0, norm_obs_keys=None)...
2026-08-27 01:19:45,674 | INFO    | uav_swarm_ppo.ppo.train | Starting PPO training for 1000000 timesteps (n_envs=4, n_steps=512, batch_size=256)...
2026-08-27 02:40:33,817 | INFO    | uav_swarm_ppo.ppo.train | Training complete. Final model saved to results/models\ppo_swarm_final.zip
2026-08-27 02:40:33,818 | INFO    | uav_swarm_ppo.ppo.train | Final VecNormalize statistics saved to results/models\vecnormalize_final.pkl
2026-08-27 12:10:24,190 | INFO    | uav_swarm_ppo.ppo.train | Building 4 parallel training environment(s)...
2026-08-27 12:10:24,560 | INFO    | uav_swarm_ppo.ppo.train | Building evaluation environment...
2026-08-27 12:10:24,659 | INFO    | uav_swarm_ppo.ppo.train | Wrapping train/eval envs with VecNormalize (norm_obs=True, norm_reward=True, clip_obs=10.0, clip_reward=10.0, norm_obs_keys=None)...
2026-08-27 12:10:29,460 | INFO    | uav_swarm_ppo.ppo.train | Starting PPO training for 1000000 timesteps (n_envs=4, n_steps=2048, batch_size=256)...
2026-08-27 14:28:27,179 | INFO    | uav_swarm_ppo.ppo.train | Training complete. Final model saved to results/models\ppo_swarm_final.zip
2026-08-27 14:28:27,180 | INFO    | uav_swarm_ppo.ppo.train | Final VecNormalize statistics saved to results/models\vecnormalize_final.pkl
2026-09-01 22:11:18,929 | INFO    | uav_swarm_ppo.ppo.train | Building 4 parallel training environment(s)...
2026-09-01 22:11:19,189 | INFO    | uav_swarm_ppo.ppo.train | Building evaluation environment...
2026-09-01 22:11:19,264 | INFO    | uav_swarm_ppo.ppo.train | Wrapping train/eval envs with VecNormalize (norm_obs=True, norm_reward=True, clip_obs=10.0, clip_reward=10.0, norm_obs_keys=None)...
2026-09-01 22:11:25,065 | INFO    | uav_swarm_ppo.ppo.train | Starting PPO training for 1000000 timesteps (n_envs=4, n_steps=2048, batch_size=256)...
2026-09-02 00:07:45,578 | INFO    | uav_swarm_ppo.ppo.train | Training complete. Final model saved to results/models\ppo_swarm_final.zip
2026-09-02 00:07:45,579 | INFO    | uav_swarm_ppo.ppo.train | Final VecNormalize statistics saved to results/models\vecnormalize_final.pkl
